Store,Sector,Normal,Total
JB Hi-Fi,Consumer Discretionary,5,6
Kmart,Consumer Discretionary,4,5
rebel,Consumer Discretionary,4,5
The Reject Shop,Consumer Discretionary,4,4
Target (Click & Collect only),Consumer Discretionary,5,5
ALDI,Consumer Staples,4,4
Bakers Delight,Consumer Staples,5,7
Coles,Consumer Staples,7,7
Liquorland,Consumer Staples,5,5
Woolworths,Consumer Staples,5,5
BWS,Consumer Staples,4,4
ANZ,Financials,6,6
Commonwealth Bank,Financials,6,6
NAB,Financials,5,6
Bank of Melbourne,Financials,6,7
OPSM,Health Care,6,7
Oscar Wylee,Health Care,6,6
Priceline,Health Care,4,7
Specsavers,Health Care,7,7
Chemist Warehouse,Health Care,5,5
Myhealth Medical Centre,Health Care,4,4
mycar,Utilities,6,6
Australia Post,Utilities,5,6